Baseline,transformer,mobilevit,lstm,gru
0,0,0,0,0
1.17E-05,1.17E-05,1.17E-05,9.00E-06,5.8473136270717E-06
1.52E-05,1.52E-05,1.52E-05,1.17E-05,7.6012265879439E-06
1.84E-05,1.84E-05,1.84E-05,1.41E-05,9.19598601751755E-06
2.15E-05,2.15E-05,2.15E-05,1.66E-05,1.07653633012225E-05
2.45E-05,2.45E-05,2.45E-05,1.89E-05,1.22674524516464E-05
2.75E-05,2.75E-05,2.75E-05,2.12E-05,1.37628898998562E-05
3.05E-05,3.05E-05,3.05E-05,2.35E-05,1.52547279623796E-05
3.35E-05,3.35E-05,3.35E-05,2.58E-05,1.67424381890335E-05
3.65E-05,3.65E-05,3.65E-05,2.80E-05,1.82264383015453E-05
3.94E-05,3.94E-05,3.94E-05,3.03E-05,1.97043552856016E-05
4.23E-05,4.23E-05,4.23E-05,3.26E-05,2.11721088426007E-05
4.53E-05,4.53E-05,4.53E-05,3.48E-05,2.26398172204037E-05
4.82E-05,4.82E-05,4.82E-05,3.71E-05,2.41180367048486E-05
5.12E-05,5.12E-05,5.12E-05,3.94E-05,2.55897639845909E-05
5.41E-05,5.41E-05,5.41E-05,4.16E-05,2.70499513108207E-05
5.70E-05,5.70E-05,5.70E-05,4.38E-05,2.84999185897177E-05
5.99E-05,5.99E-05,5.99E-05,4.60E-05,2.9927108309349E-05
6.27E-05,6.27E-05,6.27E-05,4.82E-05,3.13610821074915E-05
6.57E-05,6.57E-05,6.57E-05,5.05E-05,3.28388101190258E-05
6.79E-05,6.79E-05,6.79E-05,5.22E-05,3.39260453130061E-05
6.73E-05,6.73E-05,6.73E-05,5.18E-05,3.36484081883917E-05
6.70E-05,6.70E-05,6.70E-05,5.15E-05,3.34786661800292E-05
7.46E-05,7.46E-05,7.46E-05,5.74E-05,3.73133090051365E-05
8.13E-05,8.13E-05,8.13E-05,6.25E-05,4.06384819595414E-05
8.42E-05,8.42E-05,8.42E-05,6.48E-05,4.21023027931551E-05
8.70E-05,8.70E-05,8.70E-05,6.69E-05,4.34934648049989E-05
8.98E-05,8.98E-05,8.98E-05,6.90E-05,4.48773816766227E-05
9.25E-05,9.25E-05,9.25E-05,7.12E-05,4.62575632184126E-05
9.53E-05,9.53E-05,9.53E-05,7.33E-05,4.76340206001959E-05
9.80E-05,9.80E-05,9.80E-05,7.54E-05,4.90145170303022E-05
0.00010084420986,0.000100846612786,0.000100846926029,7.75750778723077E-05,5.0424292709E-05
0.000102903614842,0.000102906072932,0.000102906396556,7.91592893392308E-05,5.1454027308E-05
0.000102356983842,0.000102358954251,0.000102359206873,7.87382405276923E-05,5.11802007305E-05
0.000101961999454,0.00010196337074,0.000101963532034,7.84337121338462E-05,5.0982081576E-05
0.000109244874188,0.000109247364288,0.000109247693324,8.40371780992308E-05,5.4624599026E-05
0.000115728217541,0.00011573169511,0.000115732175317,8.90254721384615E-05,5.78672186645E-05
0.000118585405757,0.00011858910974,0.000118589624294,9.12235507861539E-05,5.92960029725E-05
0.000121299437115,0.000121303364617,0.000121303912824,9.33115050323077E-05,6.0653205294E-05
0.000124002133965,0.000124006291678,0.000124006874266,9.53907467638462E-05,6.2004744573E-05
0.00012668162334,0.000126686014147,0.000126686631203,9.74521385261538E-05,6.33446804435E-05
0.000129307820156,0.000129312436196,0.000129313086034,9.94725256023077E-05,6.4657959544E-05
0.000131241535135,0.000131246177183,0.000131246826887,0.00010096000505,6.56247962445E-05
0.000130701393664,0.000130705247069,0.000130705762231,0.000100543584059,6.53538888065E-05
0.000130347692,0.000130350654454,0.000130351015536,0.000100270457209,6.5176093814E-05
0.000137399460042,0.00013740407184,0.000137404696568,0.000105696748607,6.8703559187E-05
0.000142905531794,0.0001429113004,0.000142912108722,0.000109933478548,7.1457682287E-05
0.000142497173592,0.000142502036985,0.000142502685721,0.000109618287002,7.12525380955E-05
0.000142264989138,0.000142268885106,0.000142269361724,0.000109438539962,7.11354160255E-05
